	lemma	pos	abs_freq	rel_freq
149	einige	PIAT	59	0.0005345025955083663
150	Million	NN	59	0.0005345025955083663
151	unser	PPOSAT	58	0.0005254432294828008
152	machen	VVFIN	58	0.0005254432294828008
153	weiter	ADV	58	0.0005254432294828008
154	stellen	VVFIN	57	0.0005163838634572352
155	statt	PTKVZ	57	0.0005163838634572352
156	Stadt	NN	56	0.0005073244974316697
157	ohne	APPR	55	0.0004982651314061042
158	us	NE	54	0.0004892057653805387
159	letzt	ADJA	54	0.0004892057653805387
160	vier	CARD	54	0.0004892057653805387
161	ebenfalls	ADV	53	0.0004801463993549731
162	leben	VVFIN	53	0.0004801463993549731
163	kurz	ADJD	53	0.0004801463993549731
164	platz	PTKVZ	52	0.0004710870333294076
165	sondern	KON	52	0.0004710870333294076
166	spät	ADJD	52	0.0004710870333294076
167	klein	ADJA	51	0.00046202766730384207
168	vergangen	ADJA	51	0.00046202766730384207
169	etwas	ADV	51	0.00046202766730384207
170	viel	PIAT	51	0.00046202766730384207
171	eigen	ADJA	50	0.00045296830127827657
172	spielen	VVFIN	49	0.000443908935252711
173	jung	ADJA	49	0.000443908935252711
174	hoch	ADJA	49	0.000443908935252711
175	dafür	PROAV	48	0.00043484956922714546
176	erklären	VVFIN	48	0.00043484956922714546
177	wegen	APPR	48	0.00043484956922714546
178	heißen	VVFIN	48	0.00043484956922714546
179	weil	KOUS	47	0.00042579020320157997
180	dies	PDS	47	0.00042579020320157997
181	lassen	VVINF	47	0.00042579020320157997
182	einmal	ADV	47	0.00042579020320157997
183	bieten	VVFIN	47	0.00042579020320157997
184	finden	VVFIN	47	0.00042579020320157997
185	zweit	ADJA	47	0.00042579020320157997
186	finden	VVINF	46	0.0004167308371760144
187	also	ADV	46	0.0004167308371760144
188	die	PDAT	45	0.0004076714711504489
189	Samstag	NN	45	0.0004076714711504489
190	mehrere	PIAT	45	0.0004076714711504489
191	bleiben	VVFIN	45	0.0004076714711504489
192	andere	PIS	44	0.00039861210512488336
193	ich	PRF	44	0.00039861210512488336
194	gelten	VVFIN	44	0.00039861210512488336
195	machen	VVINF	44	0.00039861210512488336
196	aktuell	ADJA	43	0.0003895527390993178
197	sehen	VVINF	43	0.0003895527390993178
198	weniger	ADV	43	0.0003895527390993178
199	bisher	ADV	42	0.0003804933730737523
200	Auto	NN	42	0.0003804933730737523
201	du	PPER	42	0.0003804933730737523
202	nah	ADJA	42	0.0003804933730737523
203	folgen	VVFIN	42	0.0003804933730737523
204	hin	PTKVZ	41	0.00037143400704818676
205	nehmen	VVINF	41	0.00037143400704818676
206	ganz	ADV	41	0.00037143400704818676
207	russisch	ADJA	41	0.00037143400704818676
208	eu	NE	40	0.0003623746410226212
209	während	APPR	40	0.0003623746410226212
210	zurück	PTKVZ	40	0.0003623746410226212
211	jedoch	ADV	40	0.0003623746410226212
212	wichtig	ADJA	40	0.0003623746410226212
213	führen	VVFIN	40	0.0003623746410226212
214	Dienstag	NN	40	0.0003623746410226212
215	Straße	NN	40	0.0003623746410226212
216	bekannt	ADJD	40	0.0003623746410226212
217	UNKNOWN	NE	39	0.0003533152749970557
218	Bild	NN	39	0.0003533152749970557
219	fünf	CARD	39	0.0003533152749970557
220	sprechen	VVFIN	39	0.0003533152749970557
221	ganz	ADJA	39	0.0003533152749970557
222	trump	XY	38	0.00034425590897149016
223	sein	VAPP	38	0.00034425590897149016
224	damals	ADV	38	0.00034425590897149016
225	u	NE	38	0.00034425590897149016
226	neben	APPR	38	0.00034425590897149016
227	gehören	VVFIN	38	0.00034425590897149016
228	außerdem	ADV	38	0.00034425590897149016
229	sogar	ADV	37	0.00033519654294592466
230	laufen	VVFIN	37	0.00033519654294592466
231	weg	PTKVZ	37	0.00033519654294592466
232	Sonntag	NN	37	0.00033519654294592466
233	tun	VVFIN	37	0.00033519654294592466
234	daher	PROAV	37	0.00033519654294592466
235	ob	KOUS	37	0.00033519654294592466
236	insgesamt	ADV	37	0.00033519654294592466
