	lemma	pos	abs_freq	rel_freq
146	allerdings	ADV	260	0.0005300994548130992
147	mal	ADV	257	0.0005239829226421788
148	vergangen	ADJA	257	0.0005239829226421788
149	einige	PIAT	256	0.0005219440785852053
150	folgen	VVFIN	252	0.0005137887023573115
151	etwas	ADV	251	0.0005117498583003381
152	machen	VVINF	251	0.0005117498583003381
153	jedoch	ADV	250	0.0005097110142433646
154	ganz	ADV	248	0.0005056333261294176
155	ob	KOUS	247	0.0005035944820724442
156	ohne	APPR	243	0.0004954391058445503
157	sondern	KON	243	0.0004954391058445503
158	letzt	ADJA	242	0.0004934002617875769
159	Million	NN	242	0.0004934002617875769
160	erst	ADV	238	0.00048524488555968306
161	jung	ADJA	237	0.0004832060415027096
162	erklären	VVFIN	236	0.00048116719744573615
163	sehen	VVFIN	233	0.0004750506652748158
164	us	NE	230	0.0004689341331038954
165	bleiben	VVFIN	228	0.0004648564449899485
166	lassen	VVFIN	228	0.0004648564449899485
167	klein	ADJA	225	0.0004587399128190281
168	unternehmen	VVINF	224	0.00045670106876205465
169	leben	VVFIN	224	0.00045670106876205465
170	heute	ADV	221	0.0004505845365911343
171	gelten	VVFIN	221	0.0004505845365911343
172	alt	ADJA	221	0.0004505845365911343
173	also	ADV	216	0.000440390316306267
174	weil	KOUS	215	0.00043835147224929356
175	mein	PPOSAT	214	0.0004363126281923201
176	hoch	ADJA	214	0.0004363126281923201
177	finden	VVFIN	211	0.0004301960960213997
178	eigen	ADJA	210	0.00042815725196442624
179	wegen	APPR	210	0.00042815725196442624
180	zweit	ADJA	207	0.0004220407197935059
181	heißen	VVFIN	207	0.0004220407197935059
182	stellen	VVFIN	206	0.0004200018757365324
183	mehrere	PIAT	199	0.0004057299673377182
184	vier	CARD	195	0.0003975745911098244
185	sogar	ADV	192	0.000391458058938904
186	besonders	ADV	191	0.00038941921488193056
187	andere	PIS	191	0.00038941921488193056
188	grün	ADJA	190	0.0003873803708249571
189	lassen	VVINF	189	0.0003853415267679836
190	nah	ADJA	187	0.0003812638386540367
191	wichtig	ADJA	186	0.00037922499459706324
192	davon	PROAV	185	0.0003771861505400898
193	Straße	NN	184	0.00037514730648311633
194	UNKNOWN	NE	183	0.0003731084624261429
195	ich	PRF	182	0.0003710696183691694
196	geben	VVINF	179	0.00036495308619824906
197	spät	ADJD	179	0.00036495308619824906
198	sein	VAPP	179	0.00036495308619824906
199	dies	PDS	179	0.00036495308619824906
200	einmal	ADV	178	0.0003629142421412756
201	derzeit	ADV	177	0.0003608753980843021
202	Minute	NN	176	0.00035883655402732864
203	Monat	NN	176	0.00035883655402732864
204	Auto	NN	175	0.0003567977099703552
205	Fall	NN	175	0.0003567977099703552
206	eu	NE	174	0.00035475886591338174
207	teilen	VVFIN	173	0.0003527200218564083
208	einfach	ADJD	173	0.0003527200218564083
209	Berlin	NE	171	0.0003486423337424614
210	fast	ADV	171	0.0003486423337424614
211	ja	ADV	169	0.00034456464562851447
212	Problem	NN	169	0.00034456464562851447
213	darauf	PROAV	169	0.00034456464562851447
214	während	APPR	168	0.000342525801571541
215	wo	PWAV	167	0.00034048695751456756
216	treffen	VVFIN	167	0.00034048695751456756
217	Person	NN	166	0.0003384481134575941
218	spielen	VVIMP	165	0.00033640926940062065
219	trump	XY	164	0.00033437042534364714
220	deshalb	PROAV	164	0.00033437042534364714
221	die	PDAT	164	0.00033437042534364714
222	laufen	VVFIN	164	0.00033437042534364714
223	UNKNOWN	VVINF	164	0.00033437042534364714
224	Einsatz	NN	162	0.00033029273722970024
225	kurz	ADJD	160	0.00032621504911575333
226	nichts	PIS	160	0.00032621504911575333
227	zurück	PTKVZ	160	0.00032621504911575333
228	bieten	VVFIN	160	0.00032621504911575333
229	schnell	ADJD	159	0.0003241762050587799
230	trotz	APPR	159	0.0003241762050587799
231	tag	NE	158	0.0003221373610018064
232	bisher	ADV	158	0.0003221373610018064
233	Stunde	NN	158	0.0003221373610018064
234	pro	APPR	157	0.00032009851694483297
235	weg	PTKVZ	157	0.00032009851694483297
236	angeben	VVFIN	157	0.00032009851694483297
237	neben	APPR	156	0.0003180596728878595
238	brauchen	VVFIN	155	0.00031602082883088606
239	spielen	VVFIN	155	0.00031602082883088606
240	gerade	ADV	154	0.0003139819847739126
241	Ukraine	NE	154	0.0003139819847739126
242	berichten	VVFIN	153	0.00031194314071693915
243	weniger	ADV	153	0.00031194314071693915
244	insgesamt	ADV	153	0.00031194314071693915
245	gehen	VVINF	152	0.00030990429665996564
246	zehn	CARD	152	0.00030990429665996564
247	Fc	NN	152	0.00030990429665996564
248	Sonntag	NN	152	0.00030990429665996564
249	fünf	CARD	151	0.0003078654526029922
250	die	PRELS	151	0.0003078654526029922
251	Freitag	NN	151	0.0003078654526029922
252	fragen	VVFIN	150	0.00030582660854601873
253	sehen	VVINF	150	0.00030582660854601873
254	Usa	NE	150	0.00030582660854601873
255	Familie	NN	149	0.0003037877644890453
256	Fan	NN	149	0.0003037877644890453
257	platz	PTKVZ	148	0.0003017489204320718
258	stark	ADJD	148	0.0003017489204320718
259	deutlich	ADJD	148	0.0003017489204320718
260	Samstag	NN	147	0.00029971007637509837
261	s	NN	146	0.0002976712323181249
262	Thema	NN	144	0.000293593544204178
263	teil	PTKVZ	144	0.000293593544204178
264	Team	FM	144	0.000293593544204178
265	stark	ADJA	141	0.00028747701203325765
266	Projekt	NN	139	0.0002833993239193107
267	Ort	NN	139	0.0002833993239193107
268	zudem	ADV	139	0.0002833993239193107
269	Bereich	NN	138	0.00028136047986233723
270	russisch	ADJA	138	0.00028136047986233723
271	finden	VVINF	138	0.00028136047986233723
272	du	PPER	137	0.0002793216358053638
273	Bild	NN	137	0.0002793216358053638
274	bringen	VVFIN	136	0.0002772827917483903
275	Partei	NN	136	0.0002772827917483903
276	wohl	ADV	136	0.0002772827917483903
277	a	FM	134	0.0002732051036344434
278	ganz	ADJA	133	0.00027116625957746996
279	Mittwoch	NN	133	0.00027116625957746996
280	setzen	VVFIN	133	0.00027116625957746996
281	Region	NN	132	0.0002691274155204965
282	spielen	VVINF	132	0.0002691274155204965
283	mögen	VMFIN	132	0.0002691274155204965
284	kommend	ADJA	131	0.00026708857146352306
285	Spieler	NN	131	0.00026708857146352306
286	lange	ADV	131	0.00026708857146352306
287	Israel	NE	131	0.00026708857146352306
288	gehören	VVFIN	130	0.0002650497274065496
289	bekannt	ADJD	130	0.0002650497274065496
290	ebenfalls	ADV	130	0.0002650497274065496
291	statt	PTKVZ	130	0.0002650497274065496
292	Saison	NN	129	0.00026301088334957615
293	zwar	ADV	129	0.00026301088334957615
294	außerdem	ADV	129	0.00026301088334957615
295	gar	ADV	128	0.00026097203929260264
296	Milliarde	NN	128	0.00026097203929260264
297	Österreich	NE	127	0.0002589331952356292
298	oft	ADV	127	0.0002589331952356292
299	UNKNOWN	VVPP	127	0.0002589331952356292
300	nehmen	VVFIN	127	0.0002589331952356292
301	Chance	NN	126	0.00025689435117865573
302	Ergebnis	NN	126	0.00025689435117865573
303	stimmen	VVFIN	126	0.00025689435117865573
304	Spd	NE	126	0.00025689435117865573
305	sprechen	VVFIN	126	0.00025689435117865573
306	Russland	NE	126	0.00025689435117865573
307	Geld	NN	125	0.0002548555071216823
308	Donnerstag	NN	124	0.0002528166630647088
309	fahren	VVFIN	124	0.0002528166630647088
310	sechs	CARD	123	0.00025077781900773537
311	Entscheidung	NN	123	0.00025077781900773537
312	Afd	NE	123	0.00025077781900773537
313	sorgen	VVFIN	123	0.00025077781900773537
314	Trainer	NN	123	0.00025077781900773537
315	aktuell	ADJA	123	0.00025077781900773537
